claim_id,policy_id,customer_id,claim_amount,claim_status,event_date,updated_at
CLM004697,POL000248,CUST001011,2474.69,CLOSED,2026-05-08,2026-05-14 00:00:00
CLM003019,POL001373,CUST001562,6236.84,APPROVED,2026-04-28,2026-05-14 00:00:00
CLM005546,POL000206,CUST001410,2108.81,APPROVED,2026-05-04,2026-05-11 19:00:00
CLM005607,POL001909,CUST002933,4972.14,APPROVED,2026-05-05,2026-05-13 10:00:00
CLM005332,POL000095,CUST002718,15378.18,APPROVED,2026-04-28,2026-05-13 11:00:00
CLM003304,POL001554,CUST002505,1713.74,APPROVED,2026-05-06,2026-05-14 00:00:00
CLM005550,POL001799,CUST000758,3982.79,APPROVED,2026-05-07,2026-05-12 12:00:00
CLM005191,POL000027,CUST002442,2049.6,PENDING,2026-05-12,2026-05-11 18:00:00
CLM003789,POL000348,CUST000255,1631.87,APPROVED,2026-04-27,2026-05-14 00:00:00
CLM005540,POL000149,CUST000780,7051.19,APPROVED,2026-05-12,2026-05-11 09:00:00
CLM000906,POL000726,CUST002906,7702.59,APPROVED,2026-05-06,2026-05-14 00:00:00
CLM005075,POL001993,CUST000158,4557.8,APPROVED,2026-05-09,2026-05-12 21:00:00
CLM005530,POL000835,CUST002670,3877.44,APPROVED,2026-05-04,2026-05-13 14:00:00
CLM004940,POL000127,CUST001792,5936.66,APPROVED,2026-05-01,2026-05-14 00:00:00
CLM005327,POL000065,CUST001435,4763.55,CLOSED,2026-04-28,2026-05-13 07:00:00
CLM004747,POL000638,CUST002021,3838.24,APPROVED,2026-05-01,2026-05-14 00:00:00
CLM005789,POL000784,CUST000233,9565.45,APPROVED,2026-05-04,2026-05-13 11:00:00
CLM005210,POL000229,CUST000777,3132.85,REJECTED,2026-05-03,2026-05-13 02:00:00
CLM004708,POL000630,CUST000130,6469.56,CLOSED,2026-04-27,2026-05-14 00:00:00
CLM005738,POL000828,CUST000667,2919.14,PENDING,2026-05-06,2026-05-12 20:00:00
CLM004203,POL000065,CUST002419,8847.34,CLOSED,2026-05-06,2026-05-14 00:00:00
CLM005783,POL001521,CUST000653,6979.63,CLOSED,2026-05-06,2026-05-13 11:00:00
CLM005490,POL001960,CUST001256,971.55,APPROVED,2026-05-04,2026-05-13 21:00:00
CLM005510,POL001890,CUST002954,3297.47,PENDING,2026-04-26,2026-05-12 22:00:00
CLM002062,POL000685,CUST001660,8032.37,APPROVED,2026-04-30,2026-05-14 00:00:00
CLM002644,POL000792,CUST000229,5729.75,APPROVED,2026-04-30,2026-05-14 00:00:00
CLM004421,POL000829,CUST000610,1477.66,CLOSED,2026-05-11,2026-05-14 00:00:00
CLM003962,POL000834,CUST002724,5555.66,APPROVED,2026-04-27,2026-05-14 00:00:00
CLM004576,POL000889,CUST001466,1423.52,APPROVED,2026-05-09,2026-05-14 00:00:00
